x,y,z,type
1249.75,-2079.25,0,Tcell
1435.25,-2072.25,0,Tcell
1246.25,-2063.75,0,Tcell
1371.75,-2069.75,0,Tcell
1019.25,-2069.75,0,Tcell
1449.25,-2060.75,0,Tcell
1318.25,-2066.25,0,Tcell
1650.25,-2054.25,0,Tcell
1496.25,-2056.25,0,Tcell
1553.75,-2055.25,0,Tcell
1130.75,-2046.25,0,Tcell
924.75,-2046.75,0,Tcell
1235.75,-2044.75,0,Tcell
1364.25,-2038.25,0,Tcell
1550.25,-2032.25,0,Tcell
1220.75,-2028.25,0,Tcell
1381.75,-2026.75,0,Tcell
1364.75,-2022.75,0,Tcell
1242.75,-2019.75,0,Tcell
1270.25,-2010.75,0,Tcell
1484.75,-2011.25,0,Tcell
1232.75,-2005.25,0,Tcell
1272.75,-1982.25,0,Tcell
1315.75,-1950.25,0,Tcell
1331.25,-1932.25,0,Tcell
1499.25,-1926.75,0,Tcell
1564.25,-1916.25,0,Tcell
1341.75,-1912.75,0,Tcell
1025.75,-1887.25,0,Tcell
1127.75,-1858.75,0,Tcell
1326.75,-1842.25,0,Tcell
1077.75,-1832.75,0,Tcell
1103.25,-1832.25,0,Tcell
1215.75,-1820.25,0,Tcell
1224.75,-1815.75,0,Tcell
1208.75,-1812.75,0,Tcell
1164.75,-1810.25,0,Tcell
1321.75,-1808.75,0,Tcell
1379.75,-1807.25,0,Tcell
1171.75,-1788.25,0,Tcell
1256.25,-1788.75,0,Tcell
1253.25,-1771.75,0,Tcell
1626.75,-1743.25,0,Tcell
1121.25,-1732.75,0,Tcell
1105.25,-1737.25,0,Tcell
977.75,-1635.25,0,Tcell
997.25,-1566.25,0,Tcell
978.25,-1561.25,0,Tcell
992.25,-1540.25,0,Tcell
1555.25,-1540.25,0,Tcell
1018.25,-1530.25,0,Tcell
1544.75,-1520.25,0,Tcell
1063.75,-1509.75,0,Tcell
1066.25,-1491.75,0,Tcell
-248.25,-2272.25,0,Tcell
32.75,-2258.75,0,Tcell
-243.75,-2198.25,0,Tcell
87.25,-2135.25,0,Tcell
-258.75,-2060.25,0,Tcell
-202.25,-2044.25,0,Tcell
-194.25,-2016.75,0,Tcell
-2397.25,-1487.25,0,Tcell
-2444.25,-1483.75,0,Tcell
-2634.25,-1484.25,0,Tcell
-2422.25,-1479.25,0,Tcell
-2408.25,-1470.75,0,Tcell
-2447.25,-1468.25,0,Tcell
-2429.75,-1464.25,0,Tcell
-2385.75,-1449.25,0,Tcell
-2436.25,-1448.25,0,Tcell
-2634.75,-1409.75,0,Tcell
-2614.75,-1411.75,0,Tcell
-2423.75,-1400.75,0,Tcell
-2618.25,-1386.25,0,Tcell
-2630.25,-1394.75,0,Tcell
-2484.75,-1382.25,0,Tcell
-2430.75,-1380.25,0,Tcell
-2471.25,-1367.75,0,Tcell
-2586.75,-1274.25,0,Tcell
-2346.75,-1234.75,0,Tcell
-2721.25,-1224.25,0,Tcell
-2411.25,-1224.75,0,Tcell
-2569.25,-1223.25,0,Tcell
-2570.75,-1209.75,0,Tcell
-2732.25,-1206.25,0,Tcell
-2712.75,-1203.25,0,Tcell
-2458.25,-1198.25,0,Tcell
-2608.75,-1191.25,0,Tcell
-2432.25,-1187.75,0,Tcell
-2313.75,-1182.25,0,Tcell
-2455.75,-1183.25,0,Tcell
-2647.75,-1173.75,0,Tcell
-2561.75,-1125.75,0,Tcell
-2677.75,-1123.25,0,Tcell
-2744.75,-1105.25,0,Tcell
-2574.75,-1094.25,0,Tcell
-2515.25,-1098.75,0,Tcell
-2334.25,-1083.25,0,Tcell
-2354.75,-1079.25,0,Tcell
-2306.25,-1074.25,0,Tcell
-2679.75,-1066.25,0,Tcell
-2331.25,-1063.75,0,Tcell
-2496.75,-1049.25,0,Tcell
-2484.25,-1042.75,0,Tcell
-2365.75,-1038.75,0,Tcell
-2309.75,-1035.75,0,Tcell
-2406.25,-1033.75,0,Tcell
-2386.75,-1021.75,0,Tcell
-2496.75,-1026.25,0,Tcell
-2361.75,-1015.75,0,Tcell
-2516.25,-1016.25,0,Tcell
-2481.25,-1018.75,0,Tcell
-2292.75,-1016.25,0,Tcell
-2452.25,-1016.75,0,Tcell
-2309.75,-998.25,0,Tcell
-2572.25,-1004.25,0,Tcell
-2477.25,-1004.25,0,Tcell
-2453.75,-1001.25,0,Tcell
-2347.75,-997.25,0,Tcell
-2375.25,-999.25,0,Tcell
-2524.75,-997.75,0,Tcell
-2360.75,-979.75,0,Tcell
-2326.75,-982.25,0,Tcell
-2916.75,-978.25,0,Tcell
-2344.25,-968.25,0,Tcell
-2295.25,-963.75,0,Tcell
-2319.75,-960.25,0,Tcell
-2882.25,-953.75,0,Tcell
-2363.25,-952.25,0,Tcell
-2284.75,-947.25,0,Tcell
-2338.25,-949.25,0,Tcell
-2932.75,-939.75,0,Tcell
-2307.75,-940.25,0,Tcell
-2843.75,-944.25,0,Tcell
-2589.25,-932.75,0,Tcell
-2353.75,-934.75,0,Tcell
-2840.25,-936.25,0,Tcell
-2284.75,-923.75,0,Tcell
-2821.75,-923.75,0,Tcell
-2993.25,-924.75,0,Tcell
-2849.25,-919.75,0,Tcell
-2349.25,-918.25,0,Tcell
-2327.75,-907.75,0,Tcell
-2350.25,-901.75,0,Tcell
-2916.25,-894.25,0,Tcell
-2357.75,-885.75,0,Tcell
-2965.25,-882.75,0,Tcell
-2326.75,-882.25,0,Tcell
-2941.25,-881.75,0,Tcell
-2347.25,-878.25,0,Tcell
-2301.75,-868.25,0,Tcell
-2976.75,-861.75,0,Tcell
-2999.25,-861.25,0,Tcell
-2354.25,-855.25,0,Tcell
-2320.75,-851.25,0,Tcell
-2286.25,-853.75,0,Tcell
-2412.75,-847.75,0,Tcell
-2423.25,-842.25,0,Tcell
-2532.25,-838.75,0,Tcell
-2477.25,-835.25,0,Tcell
-2337.25,-824.25,0,Tcell
-2295.75,-817.75,0,Tcell
-2525.25,-813.75,0,Tcell
-2354.75,-815.25,0,Tcell
-2509.75,-808.25,0,Tcell
-2411.75,-802.75,0,Tcell
-3056.25,-803.75,0,Tcell
-2339.25,-802.25,0,Tcell
-2530.25,-798.75,0,Tcell
-2356.75,-796.75,0,Tcell
-2310.75,-798.75,0,Tcell
-2510.25,-794.25,0,Tcell
-2298.75,-788.25,0,Tcell
-2852.75,-793.25,0,Tcell
-2409.25,-784.25,0,Tcell
-2950.75,-786.75,0,Tcell
-2538.25,-781.75,0,Tcell
-2380.75,-777.75,0,Tcell
-2847.75,-773.25,0,Tcell
-2356.25,-768.25,0,Tcell
-2326.25,-767.25,0,Tcell
-2387.25,-754.75,0,Tcell
-2578.75,-750.25,0,Tcell
-2320.25,-750.75,0,Tcell
-2674.75,-749.75,0,Tcell
-2544.75,-738.75,0,Tcell
-2351.25,-734.25,0,Tcell
-2413.25,-734.25,0,Tcell
-3009.25,-733.25,0,Tcell
-2743.75,-721.75,0,Tcell
-2304.25,-730.75,0,Tcell
-2474.25,-721.75,0,Tcell
-2285.25,-716.75,0,Tcell
-2378.75,-718.75,0,Tcell
-2576.25,-715.25,0,Tcell
-2555.25,-710.25,0,Tcell
-2440.75,-705.25,0,Tcell
-2415.25,-706.25,0,Tcell
-2600.75,-700.75,0,Tcell
-2409.25,-694.75,0,Tcell
-2426.75,-696.75,0,Tcell
-2564.75,-689.75,0,Tcell
-2581.25,-693.25,0,Tcell
-2674.25,-691.25,0,Tcell
-2034.25,-1393.75,0,Tcell
-2127.25,-1392.25,0,Tcell
-1607.75,-1346.25,0,Tcell
-1626.25,-1341.75,0,Tcell
-1563.75,-1332.75,0,Tcell
-1582.25,-1316.75,0,Tcell
-2068.75,-1319.75,0,Tcell
-2007.25,-1311.75,0,Tcell
-2057.75,-1308.75,0,Tcell
-2074.25,-1306.25,0,Tcell
-2098.25,-1301.25,0,Tcell
-1629.75,-1298.25,0,Tcell
-2058.25,-1289.25,0,Tcell
-2143.25,-1287.25,0,Tcell
-2083.25,-1278.25,0,Tcell
-2068.75,-1275.25,0,Tcell
-1535.25,-1269.25,0,Tcell
-2098.25,-1266.25,0,Tcell
-1620.25,-1259.75,0,Tcell
-2228.75,-1252.25,0,Tcell
-2125.25,-1255.25,0,Tcell
-2090.25,-1251.75,0,Tcell
-2103.75,-1252.75,0,Tcell
-2149.25,-1242.25,0,Tcell
-1613.25,-1241.25,0,Tcell
-2172.25,-1241.75,0,Tcell
-2128.75,-1234.75,0,Tcell
-1543.25,-1238.25,0,Tcell
