x,y,z,type
-3432.5,-3140,0,Tcell
-3419,-3096,0,Tcell
-3452,-3043.5,0,Tcell
-3427,-2984,0,Tcell
-5263,-2559.5,0,Tcell
-5243.5,-2557.5,0,Tcell
-5213,-2514.5,0,Tcell
-5317.5,-2502,0,Tcell
-5260.5,-2497,0,Tcell
-5245,-2476,0,Tcell
-5324.5,-2475,0,Tcell
-5340.5,-2470,0,Tcell
-5231.5,-2437,0,Tcell
-5260.5,-2350.5,0,Tcell
-5346.5,-2336.5,0,Tcell
-5222,-2336,0,Tcell
-5275,-2333,0,Tcell
-5242,-2316,0,Tcell
-5314.5,-2297.5,0,Tcell
-5314.5,-2232.5,0,Tcell
-5308,-2198,0,Tcell
-5237,-2193,0,Tcell
-5304,-2166.5,0,Tcell
-5167,-2116,0,Tcell
-5303,-2055,0,Tcell
-5224,-2036.5,0,Tcell
3586.5,-3574,0,Tcell
3625.5,-3561,0,Tcell
3544.5,-3495.5,0,Tcell
3392,-3493,0,Tcell
3449,-3117,0,Tcell
3818,-3064.5,0,Tcell
3655.5,-3063,0,Tcell
3804,-3062.5,0,Tcell
3498.5,-3016,0,Tcell
3799.5,-3003.5,0,Tcell
3759.5,-2984.5,0,Tcell
3805.5,-2984.5,0,Tcell
3784.5,-2977,0,Tcell
3657.5,-2972,0,Tcell
3803.5,-2962,0,Tcell
3794,-2942.5,0,Tcell
3385,-2931,0,Tcell
3770.5,-2902.5,0,Tcell
3766.5,-2878.5,0,Tcell
3692.5,-2863.5,0,Tcell
3667.5,-2804.5,0,Tcell
3478,-2797,0,Tcell
3579.5,-2794,0,Tcell
3718,-2791,0,Tcell
-1532.5,-3579.5,0,Tcell
-1142.5,-3569,0,Tcell
-1173.5,-3555,0,Tcell
-1394.5,-3557,0,Tcell
-1270.5,-3538.5,0,Tcell
-1191.5,-3528.5,0,Tcell
-1711,-3477.5,0,Tcell
-1298,-3463,0,Tcell
-1574,-3383,0,Tcell
3879.5,-3554.5,0,Tcell
4540.5,-3550.5,0,Tcell
4552.5,-3535.5,0,Tcell
3950.5,-3514,0,Tcell
4519.5,-3492,0,Tcell
4191,-3276,0,Tcell
4087,-3199,0,Tcell
3984.5,-3161.5,0,Tcell
4016,-3143.5,0,Tcell
4042,-3109.5,0,Tcell
4123.5,-3077.5,0,Tcell
4143.5,-3052,0,Tcell
4130,-3046,0,Tcell
3966,-3033.5,0,Tcell
4139.5,-3024,0,Tcell
3988.5,-2999.5,0,Tcell
4074,-2993,0,Tcell
4251,-2985,0,Tcell
4128,-2944,0,Tcell
3927.5,-2932.5,0,Tcell
3883.5,-2903.5,0,Tcell
4177.5,-2907,0,Tcell
4036.5,-2894.5,0,Tcell
4056,-2893.5,0,Tcell
3872.5,-2893,0,Tcell
4103.5,-2872.5,0,Tcell
4867.5,-3565.5,0,Tcell
4752,-3562,0,Tcell
4658.5,-3546.5,0,Tcell
4775.5,-4052,0,Tcell
4725,-3923,0,Tcell
4646.5,-3904,0,Tcell
4837,-3893,0,Tcell
4861,-3865.5,0,Tcell
4886.5,-3815.5,0,Tcell
4855.5,-3787.5,0,Tcell
4720.5,-3716,0,Tcell
4793,-3689,0,Tcell
-4201.5,-2245.5,0,Tcell
-4194.5,-2147.5,0,Tcell
-3467,-2662.5,0,Tcell
-4127,-2625.5,0,Tcell
-4133.5,-2612,0,Tcell
-3450,-2598,0,Tcell
-4127.5,-2600,0,Tcell
-4131.5,-2590.5,0,Tcell
-3501.5,-2584.5,0,Tcell
-4043.5,-2572.5,0,Tcell
-4087.5,-2578.5,0,Tcell
-3434.5,-2550,0,Tcell
-4082.5,-2550,0,Tcell
-4154.5,-2551.5,0,Tcell
-4018.5,-2550,0,Tcell
-3412.5,-2548,0,Tcell
-3455,-2503,0,Tcell
-3493.5,-2502,0,Tcell
-3367.5,-2488.5,0,Tcell
-4083.5,-2478,0,Tcell
-3361,-2462,0,Tcell
-3529.5,-2465,0,Tcell
-4144,-2452.5,0,Tcell
-4127,-2445.5,0,Tcell
-3425,-2448.5,0,Tcell
-3437.5,-2437,0,Tcell
-3402,-2422,0,Tcell
-3441.5,-2359,0,Tcell
-3359.5,-2348.5,0,Tcell
-3451,-2334.5,0,Tcell
-3415,-2328,0,Tcell
-3524.5,-2287.5,0,Tcell
-4130,-2281.5,0,Tcell
-3386,-2271.5,0,Tcell
-3384.5,-2254,0,Tcell
-3371.5,-2223.5,0,Tcell
-3486,-2174.5,0,Tcell
-3496,-2153,0,Tcell
-3413,-2128,0,Tcell
-3382,-2121.5,0,Tcell
-3511.5,-2104.5,0,Tcell
-3546,-2093,0,Tcell
-3466,-2083,0,Tcell
-3496.5,-2038.5,0,Tcell
-3269.5,-2630,0,Tcell
-3344.5,-2618.5,0,Tcell
-3326.5,-2620.5,0,Tcell
-3353.5,-2595,0,Tcell
-3309.5,-2580,0,Tcell
-3335.5,-2568,0,Tcell
-3341.5,-2546.5,0,Tcell
-2869,-2548,0,Tcell
-2829.5,-2540,0,Tcell
-2820,-2527.5,0,Tcell
-3323,-2527,0,Tcell
-2685,-2517.5,0,Tcell
-3274.5,-2513,0,Tcell
-2559,-2491.5,0,Tcell
-2586.5,-2488.5,0,Tcell
-3320,-2480.5,0,Tcell
-2915.5,-2456.5,0,Tcell
-3353,-2442.5,0,Tcell
-3301.5,-2435.5,0,Tcell
-2668.5,-2426,0,Tcell
-3122,-2413,0,Tcell
-3146,-2407,0,Tcell
-3250,-2398,0,Tcell
-3357.5,-2394,0,Tcell
-2875,-2389.5,0,Tcell
-2572.5,-2383.5,0,Tcell
-2972,-2366,0,Tcell
-2589.5,-2370.5,0,Tcell
-2630,-2348,0,Tcell
-3327.5,-2340,0,Tcell
-2775.5,-2333.5,0,Tcell
-2731.5,-2335.5,0,Tcell
-3246.5,-2322.5,0,Tcell
-2631.5,-2320,0,Tcell
-3104.5,-2318,0,Tcell
-3186.5,-2300,0,Tcell
-2778.5,-2299.5,0,Tcell
-2745.5,-2290,0,Tcell
-2582.5,-2288,0,Tcell
-2997,-2282,0,Tcell
-2856.5,-2274.5,0,Tcell
-2908.5,-2259,0,Tcell
-3188,-2244,0,Tcell
-2932,-2210.5,0,Tcell
-3098,-2112.5,0,Tcell
-3027,-2107,0,Tcell
-2715.5,-2098.5,0,Tcell
-3153.5,-2086,0,Tcell
-2786.5,-2053.5,0,Tcell
-3126,-2045,0,Tcell
-2649,-2047.5,0,Tcell
-2663.5,-2038,0,Tcell
-3154.5,-2016.5,0,Tcell
-2797.5,-2001,0,Tcell
-2819,-2002,0,Tcell
-2528,-2585,0,Tcell
-2419.5,-2552.5,0,Tcell
-2516.5,-2547,0,Tcell
-2341.5,-2516,0,Tcell
-2524.5,-2502,0,Tcell
-2424.5,-2489,0,Tcell
-2527,-2487,0,Tcell
-2444.5,-2473.5,0,Tcell
-2379,-2453,0,Tcell
-2501.5,-2399,0,Tcell
-2539.5,-2287,0,Tcell
-2219,-2188.5,0,Tcell
-2418,-2126.5,0,Tcell
-1927.5,-2043.5,0,Tcell
-2411.5,-2013.5,0,Tcell
-1363.5,-2068.5,0,Tcell
-1390,-2055.5,0,Tcell
-1346,-2048.5,0,Tcell
2979.5,-2331.5,0,Tcell
3015.5,-2325.5,0,Tcell
2815,-2321,0,Tcell
2987.5,-2317.5,0,Tcell
3022.5,-2310.5,0,Tcell
3036.5,-2294,0,Tcell
2976.5,-2279,0,Tcell
2930.5,-2269.5,0,Tcell
3004,-2248.5,0,Tcell
2948,-2239,0,Tcell
2912.5,-2210,0,Tcell
2983,-2198,0,Tcell
3041.5,-2185,0,Tcell
2921,-2110,0,Tcell
2853.5,-2099.5,0,Tcell
2911,-1998,0,Tcell
3678,-2778,0,Tcell
3305,-2668.5,0,Tcell
3377.5,-2629.5,0,Tcell
3821.5,-2516.5,0,Tcell
3319,-2513.5,0,Tcell
3397,-2511.5,0,Tcell
3155,-2495,0,Tcell
3114.5,-2487.5,0,Tcell
3209.5,-2485,0,Tcell
3265.5,-2479,0,Tcell
3279,-2474,0,Tcell
3632,-2467.5,0,Tcell
3719.5,-2426.5,0,Tcell
3187,-2417,0,Tcell
3814.5,-2402,0,Tcell
3231.5,-2392.5,0,Tcell
3166.5,-2369.5,0,Tcell
3446,-2353,0,Tcell
3522.5,-2324.5,0,Tcell
3191.5,-2320.5,0,Tcell
3484.5,-2319,0,Tcell
3554,-2302.5,0,Tcell
3402.5,-2237,0,Tcell
3241.5,-2237.5,0,Tcell
3113,-2210,0,Tcell
3568,-2147,0,Tcell
3384.5,-2146.5,0,Tcell
3610,-2120,0,Tcell
3084.5,-2095,0,Tcell
3268,-2057.5,0,Tcell
3239,-2045,0,Tcell
3583.5,-2005.5,0,Tcell
3301.5,-1993,0,Tcell
4257.5,-2751,0,Tcell
4284.5,-2741.5,0,Tcell
4319,-2700,0,Tcell
4080,-2699,0,Tcell
4228.5,-2656,0,Tcell
4619.5,-2653,0,Tcell
3905,-2618,0,Tcell
4526,-2618.5,0,Tcell
4450,-2606.5,0,Tcell
4550,-2597.5,0,Tcell
4300,-2593.5,0,Tcell
4228.5,-2581.5,0,Tcell
4594.5,-2586.5,0,Tcell
4049,-2559,0,Tcell
4576.5,-2554.5,0,Tcell
4427.5,-2552.5,0,Tcell
4544,-2539.5,0,Tcell
4549,-2522.5,0,Tcell
4025,-2478,0,Tcell
4570,-2450.5,0,Tcell
4165.5,-2448.5,0,Tcell
4601.5,-2426.5,0,Tcell
4415,-2397.5,0,Tcell
4074.5,-2337.5,0,Tcell
4298.5,-2214.5,0,Tcell
4070,-2201.5,0,Tcell
3933,-2195.5,0,Tcell
4578.5,-2114,0,Tcell
4583,-2103,0,Tcell
4337,-2095,0,Tcell
3848.5,-2054,0,Tcell
4230,-2035.5,0,Tcell
4119,-2006,0,Tcell
4815,-2609.5,0,Tcell
4825.5,-2577.5,0,Tcell
5084.5,-2567,0,Tcell
4846.5,-2557.5,0,Tcell
4815,-2555,0,Tcell
4769.5,-2553.5,0,Tcell
4748,-2542.5,0,Tcell
4734.5,-2534,0,Tcell
4826.5,-2525.5,0,Tcell
4936.5,-2445,0,Tcell
4813,-2424.5,0,Tcell
4849.5,-2392,0,Tcell
5003,-2376,0,Tcell
4827.5,-2375.5,0,Tcell
4938.5,-2373.5,0,Tcell
4860,-2343.5,0,Tcell
4878.5,-2341,0,Tcell
4752,-2338,0,Tcell
4659.5,-2307.5,0,Tcell
4852.5,-2268,0,Tcell
4757.5,-2202.5,0,Tcell
4725.5,-2071.5,0,Tcell
-5314,-1969.5,0,Tcell
-5289,-1963,0,Tcell
-5272.5,-1954.5,0,Tcell
-4965.5,-1300,0,Tcell
-4280,-1596.5,0,Tcell
-4710.5,-1596.5,0,Tcell
-4600,-1561.5,0,Tcell
-4682.5,-1529.5,0,Tcell
-4645.5,-1528,0,Tcell
-4748.5,-1528.5,0,Tcell
-4734.5,-1515,0,Tcell
-4689,-1505.5,0,Tcell
-4673.5,-1485,0,Tcell
-4656.5,-1468,0,Tcell
-4541,-1467,0,Tcell
-4480.5,-1470,0,Tcell
-4389,-1442,0,Tcell
-4463,-1438,0,Tcell
-4252,-1414.5,0,Tcell
-4234,-1412,0,Tcell
-4559.5,-1391,0,Tcell
-4490.5,-1393,0,Tcell
-4437,-1396,0,Tcell
-4423,-1386.5,0,Tcell
-4657,-1337,0,Tcell
-4473.5,-1326.5,0,Tcell
-4946,-1267.5,0,Tcell
-3414.5,-1975,0,Tcell
-3599,-1927,0,Tcell
-3407,-1881,0,Tcell
-3569,-1885.5,0,Tcell
-3563.5,-1870.5,0,Tcell
-3796,-1851,0,Tcell
-3893,-1827.5,0,Tcell
-3537.5,-1815.5,0,Tcell
-3604.5,-1799,0,Tcell
-4080.5,-1799.5,0,Tcell
-4016.5,-1787.5,0,Tcell
-3770.5,-1788.5,0,Tcell
-4066,-1784.5,0,Tcell
-3923.5,-1777,0,Tcell
-3406.5,-1777.5,0,Tcell
-3835,-1752.5,0,Tcell
-3470.5,-1751,0,Tcell
-3774,-1750.5,0,Tcell
-3937.5,-1732,0,Tcell
-4097,-1740.5,0,Tcell
-3768.5,-1726,0,Tcell
-3740,-1725,0,Tcell
-3835.5,-1725.5,0,Tcell
-3850.5,-1713.5,0,Tcell
-3484.5,-1709,0,Tcell
-3699.5,-1703.5,0,Tcell
-3387,-1697.5,0,Tcell
-4052.5,-1699,0,Tcell
-3829,-1689,0,Tcell
-3903.5,-1682,0,Tcell
-3803,-1670,0,Tcell
-3944.5,-1675,0,Tcell
-3883,-1665,0,Tcell
-4024,-1654.5,0,Tcell
-3948.5,-1658.5,0,Tcell
-3525.5,-1658.5,0,Tcell
-3822,-1652.5,0,Tcell
-4082,-1646.5,0,Tcell
-3993,-1626.5,0,Tcell
-3804,-1631.5,0,Tcell
-3971.5,-1632.5,0,Tcell
-3495.5,-1625.5,0,Tcell
-4136,-1610,0,Tcell
-3538.5,-1611.5,0,Tcell
-3573,-1603.5,0,Tcell
-3907.5,-1596.5,0,Tcell
-4031.5,-1589,0,Tcell
-3884.5,-1588.5,0,Tcell
-3771,-1584.5,0,Tcell
-3823,-1577.5,0,Tcell
-3783,-1574.5,0,Tcell
-3971.5,-1574.5,0,Tcell
-3476.5,-1573.5,0,Tcell
-3938,-1568.5,0,Tcell
-4059,-1561.5,0,Tcell
-3752.5,-1546.5,0,Tcell
-3900,-1546,0,Tcell
-3578,-1543.5,0,Tcell
-3638,-1536.5,0,Tcell
-3700,-1533,0,Tcell
-3504,-1531.5,0,Tcell
-3844.5,-1531.5,0,Tcell
-3857,-1520.5,0,Tcell
-3908.5,-1518,0,Tcell
-3556.5,-1515,0,Tcell
-3937.5,-1509,0,Tcell
-3792,-1504.5,0,Tcell
-3674.5,-1503.5,0,Tcell
-3625,-1495.5,0,Tcell
-4042,-1502.5,0,Tcell
-3369.5,-1483.5,0,Tcell
-3880,-1489.5,0,Tcell
-3978,-1487,0,Tcell
-4015.5,-1487,0,Tcell
-3861.5,-1474,0,Tcell
-3546,-1474.5,0,Tcell
-4129.5,-1477.5,0,Tcell
-3993,-1462.5,0,Tcell
-3832.5,-1458,0,Tcell
-4049,-1429.5,0,Tcell
-3859,-1416,0,Tcell
-3934,-1401.5,0,Tcell
-3731.5,-1356.5,0,Tcell
-4086,-1353,0,Tcell
-3393,-1319,0,Tcell
-3673,-1309.5,0,Tcell
-3828,-1300.5,0,Tcell
-3910.5,-1280.5,0,Tcell
-3659.5,-1275.5,0,Tcell
-3445,-1268,0,Tcell
