x,y,z,type
-13531.5,2141,0,Teff
-13483,2144,0,Teff
-13881.5,2161.5,0,Teff
-13542.5,2170,0,Teff
-13621,2179.5,0,Teff
-13803.5,2183,0,Teff
-13548,2182,0,Teff
-13580,2193,0,Teff
-13776,2213.5,0,Teff
-13568.5,2210,0,Teff
-13716.5,2214.5,0,Teff
-13753.5,2212.5,0,Teff
-13799.5,2219,0,Teff
-13553,2226,0,Teff
-13821.5,2228,0,Teff
-13577,2227,0,Teff
-13567.5,2238,0,Teff
-13598.5,2245,0,Teff
-13928.5,2245,0,Teff
-13798.5,2252.5,0,Teff
-13763,2251.5,0,Teff
-13608.5,2269,0,Teff
-13519.5,2273,0,Teff
-13646,2279,0,Teff
-13661,2292,0,Teff
-13684.5,2294,0,Teff
-13684.5,2312.5,0,Teff
-13825,2308,0,Teff
-13980.5,2314,0,Teff
-13798,2314.5,0,Teff
-13756.5,2319,0,Teff
-13962.5,2333.5,0,Teff
-13903,2340.5,0,Teff
-13797,2344,0,Teff
-13473.5,2346,0,Teff
-13807.5,2355,0,Teff
-13591,2359,0,Teff
-13792.5,2363.5,0,Teff
-13853,2360,0,Teff
-13614,2363,0,Teff
-13866,2370.5,0,Teff
-13684,2369,0,Teff
-13482,2368,0,Teff
-13843.5,2376,0,Teff
-13718,2377,0,Teff
-13828.5,2374.5,0,Teff
-13749.5,2401.5,0,Teff
-13899,2407,0,Teff
-13542.5,2420.5,0,Teff
-13444.5,2430.5,0,Teff
-13902.5,2435.5,0,Teff
-13875.5,2435,0,Teff
-13780.5,2452,0,Teff
-13846.5,2460.5,0,Teff
-13540,2462,0,Teff
-13607,2454.5,0,Teff
-13667.5,2484,0,Teff
-13458,2492,0,Teff
-13810.5,2493,0,Teff
-13601.5,2493.5,0,Teff
-13791,2501,0,Teff
-13771,2501.5,0,Teff
-13587,2505.5,0,Teff
-13400,2191,0,Teff
-13234,2207,0,Teff
-13193.5,2219.5,0,Teff
-13379.5,2226,0,Teff
-12855.5,2296,0,Teff
-13246.5,2328,0,Teff
-12795.5,2364,0,Teff
-12808.5,2374.5,0,Teff
-12698,2409,0,Teff
-13384,2498,0,Teff
-15009,2536.5,0,Teff
-15051,2540.5,0,Teff
-15226.5,2579.5,0,Teff
-15326,2622.5,0,Teff
-15308,2622.5,0,Teff
-15349,2636,0,Teff
-15785.5,2641.5,0,Teff
-15023,2790,0,Teff
-15124.5,2802,0,Teff
-15089.5,2833,0,Teff
